ad_id,color_tone,lighting_mood,composition_style,visual_style_tag,emotional_tone,narrative_structure,ad_pacing,character_setup,has_narrative_twist,setting,product_visibility,symbolic_representation,slogan,language_style,verbal_technique,key_linguistic_element1,key_linguistic_element2,industry_category,is_clothing_industry,is_personal_care_industry,product_type,marketing_strategy,brand_positioning,unique_selling_proposition,gender_target,age_group,cultural_context,lifestyle_segment,socioeconomic_indicator,primary_audience,secondary_audience
2022 YOUTUBE TV - Strange Choices (1),630,518,289,56,543,119,28,579,0,268,1,523,564,43,44,810,574,7,0,0,409,363,133,517,2,3,423,509,41,325,116
tHoYKy1GMgM,650,525,318,282,394,147,126,14,0,99,1,88,731,55,54,193,668,11,0,0,380,54,528,679,2,8,164,273,10,20,279
2014_doritos_cowboy_kid-mp4,33,104,32,370,14,40,110,511,0,704,1,82,523,26,54,68,438,11,0,0,370,284,201,402,2,2,277,143,43,290,104
2018_tide_campaign-mp4,635,411,21,375,344,411,140,683,1,625,1,576,321,55,216,169,248,22,0,1,234,211,175,747,2,3,50,222,37,229,456
2022-intuit-quickbooks-and-mailchimp-duality-duets-ft-dj-khaled-mp4,643,512,581,129,106,405,311,302,0,605,1,393,26,231,213,826,258,25,0,0,76,62,629,466,2,3,254,110,49,164,402
2016_acura_nsx_what_he_said-mp4,156,171,144,433,379,415,199,536,0,35,0,829,730,235,172,589,553,2,0,0,291,308,435,553,2,5,558,302,47,273,342
K2Gj9BufAqo,115,502,624,242,66,550,258,566,0,237,1,377,383,35,111,717,12,25,0,0,376,96,621,9,2,3,253,446,25,308,140
2020 Walmart Famous Visitors,675,416,681,460,469,359,264,342,0,220,0,479,552,36,216,421,641,7,0,0,22,311,107,672,2,8,493,206,52,31,345
2009_bud_light_skiier_drinkability-1-mp4,295,95,623,125,618,158,246,369,0,189,1,251,525,7,21,71,233,11,0,0,67,118,715,722,1,8,138,149,60,375,91
2018_groupon_who_wouldnt-1-mp4,684,350,109,673,521,123,26,72,0,643,1,802,144,92,229,764,363,22,0,0,138,54,704,689,2,8,623,548,43,375,149
XZmMvVCcW0M,302,184,374,205,207,391,77,528,0,360,1,626,713,126,162,295,369,11,0,0,108,389,188,138,2,8,567,21,47,312,32
YKzk1h7qrj8,103,38,73,690,482,141,32,4,0,655,1,604,407,43,43,488,210,7,0,0,409,313,206,834,2,2,278,207,10,180,348
2022-budweiser-a-clydesdales-journey-mp4,395,472,293,584,569,318,215,768,0,623,0,708,730,99,153,818,579,15,0,0,291,101,451,314,2,3,530,344,37,275,287
2001_visa_check_card_pet_store-mp4,445,183,555,77,269,184,220,251,0,561,1,302,575,79,54,182,463,22,0,0,313,361,134,737,2,3,277,213,37,285,377
2004_emerald_nuts_encouraging_norwegians-mp4,16,230,676,432,387,232,209,534,0,191,0,771,691,62,77,435,811,11,0,0,296,143,632,428,2,3,72,273,47,24,280
2019-doritos-chance-the-rapper-backstreet-boys-mp4,651,190,130,499,199,542,189,17,0,403,1,332,179,257,213,478,610,11,0,0,370,54,135,741,2,8,481,147,67,182,406
2014_labatt_blue_undomesticated_snowboarding-1-mp4,18,420,187,704,267,355,158,772,0,660,0,327,221,210,140,806,402,4,0,0,67,256,475,490,2,8,662,52,43,375,455
2013_hyundai_santa_fe_team-mp4,254,400,458,263,439,340,121,93,0,378,1,203,203,87,27,165,10,2,0,0,20,255,212,735,2,3,277,38,37,169,464
2020_planters_road_trip-mp4,624,366,516,20,206,143,31,89,0,115,1,856,130,248,48,130,139,2,0,0,40,219,472,234,2,8,653,291,47,390,291
2009_coca-cola_heist-mp4,321,500,453,694,144,561,197,129,0,429,1,583,730,59,216,355,432,11,0,0,380,101,370,398,2,2,185,558,11,395,238
IAIo-pUDl0s,90,6,615,191,451,490,103,230,0,258,0,39,282,300,189,540,375,19,0,0,323,103,216,507,2,3,478,380,41,155,49
2009_hulu_alec_hollywood-mp4,444,217,445,320,314,11,92,1,1,727,1,10,267,162,236,275,535,7,0,0,409,253,594,24,2,8,397,523,41,326,109
2004_lays_potato_chips_teeth-mp4,685,518,412,73,466,266,297,560,0,304,1,306,693,82,72,327,472,11,0,0,334,103,211,204,2,3,277,154,37,169,352
2004_budweiser_ref_yelled_at-mp4,361,552,325,162,259,143,169,591,0,285,0,210,730,71,133,225,840,7,0,0,291,308,435,553,2,8,567,498,47,204,270
2004_ford_gt_in_what_gear-mp4,473,99,6,182,205,286,192,351,0,184,1,195,553,35,229,424,221,2,0,0,394,319,295,329,2,8,448,533,41,123,375
2014_geico_maxwell_at_dmv-mp4,399,203,430,537,128,137,121,502,0,494,1,447,121,45,54,84,766,10,0,0,137,243,15,464,2,3,312,517,41,243,254
2012_doritos_mans_best_friend-mp4,53,407,291,281,318,304,136,271,0,525,1,444,635,176,113,600,425,11,0,0,370,230,252,697,2,8,655,448,47,410,96
GAoeGC-eL4I,614,514,539,54,73,123,178,389,1,538,1,45,730,43,51,141,117,11,0,0,67,54,494,118,2,3,545,424,41,103,419
gKCScoG83SA,307,528,582,132,123,123,15,556,0,411,1,140,139,79,187,455,175,11,0,0,370,101,109,664,2,3,277,318,37,51,149
2022-rakuten-high-stakes-mp4,633,473,666,356,515,123,26,784,0,241,1,760,218,35,216,277,659,22,0,0,90,383,703,99,2,3,551,205,41,51,464
2016_fitbit_blaze_dualities-mp4,336,502,571,414,491,541,236,284,0,459,1,193,85,20,69,317,261,25,0,0,368,179,485,468,2,3,426,118,41,117,433
2003_budweiser_instant_replay-mp4,85,489,308,592,69,321,212,337,0,475,0,664,730,43,106,505,867,7,0,0,291,101,289,180,2,3,527,85,47,228,344
2005_volvo_boldy_go-1-mp4,216,314,239,444,666,157,263,519,0,195,1,44,775,142,228,529,134,2,0,0,20,164,397,622,2,3,107,278,1,82,324
94BqlDQ-Ppo,284,486,346,602,186,369,224,749,0,691,0,73,730,269,160,800,564,12,0,1,167,108,119,159,2,3,265,167,52,232,148
2003_hr_block_willie_nelson-mp4,317,554,295,141,355,137,156,84,1,724,1,318,362,79,120,722,159,10,0,0,418,243,670,244,2,3,56,249,55,333,202
2004_mastercard_homer_simpson-mp4,73,186,409,112,351,123,165,31,1,28,1,308,183,77,149,642,404,10,0,0,117,101,702,194,2,3,25,115,37,78,149
2012_cadillac_ats_green_hell-mp4,402,42,381,325,146,47,274,692,0,377,1,453,84,3,68,91,147,2,0,0,246,158,460,225,2,3,135,527,51,123,432
nUC1QA5gRcU,146,487,499,314,328,60,31,85,1,718,1,656,45,55,110,370,505,2,0,0,154,255,405,620,2,3,125,329,1,254,383
2014_cheerios_gracie-mp4,393,479,504,688,656,123,102,254,0,397,1,303,730,38,54,217,652,11,0,0,91,101,214,427,2,2,272,274,43,181,358
2014_carmax_slow_clap-mp4,74,549,632,361,673,314,258,825,0,555,0,416,641,26,54,621,777,2,0,0,80,101,724,598,2,8,31,33,65,341,364
2020-discover-yes-mp4,91,63,365,414,104,160,259,522,0,570,1,126,20,23,216,190,37,10,0,0,117,135,683,434,2,8,147,502,54,327,447
KM3Yx-5Ymiw,395,410,69,541,384,247,199,436,0,524,1,831,155,21,162,282,320,7,0,0,24,406,4,171,2,8,576,60,47,18,341
DoorDash 2023 Super Bowl Ad £¢We Get Groceries£¢ (1),693,12,545,365,341,123,9,687,0,313,1,285,581,45,111,323,624,11,0,0,195,154,71,197,2,3,351,213,13,215,210
2019-toyota-supra-wizard-mp4,113,147,383,243,226,16,85,526,0,214,1,607,550,51,142,245,490,2,0,0,394,319,148,406,2,8,160,12,41,323,436
2011_best-buy_ozzy_and_bieber-mp4,485,63,114,530,112,36,47,65,0,693,0,738,27,79,226,15,204,25,0,0,272,347,354,823,2,8,183,517,41,334,182
2010_trutv_punxsutawney_polamalu-mp4,162,158,252,161,380,26,263,518,0,285,0,775,478,35,54,131,125,7,0,0,425,326,610,566,2,3,49,499,47,324,228
2005_emerald_nuts_exaggerating_dad-1-mp4,266,471,81,342,86,140,205,255,0,413,1,179,730,55,80,373,817,11,0,0,259,170,112,707,2,3,81,222,37,285,104
2020-turbotax-all-people-are-tax-people-6-mp4,609,257,200,465,358,502,309,159,0,722,1,153,129,61,196,775,315,10,0,0,416,65,10,253,2,3,240,297,54,331,158
2010_snickers_the-game_betty_white_abe_vigoda-mp4,474,345,423,303,325,35,140,746,1,678,1,834,649,43,181,159,687,11,0,0,79,215,540,680,2,8,599,33,10,209,456
